"","pt","nEvents","start","end","rbm","rst","rowID","pt.samp","rbm.samp","rst.samp","pts","rbms","rsts","pt.samp.s","rbm.samp.s","rst.samp.s","ite_pt_rst","ite_rbm_rst","ite_pt_rbm","males_PT","males_RST","males_RBM","size_PT","size_RBM","size_RST","Date","NDVI.Int","ndvi","ndvi.s","yday","yday.s","ite_pt_rst.s","ite_rbm_rst.s","ite_pt_rbm.s","males_PT.s","males_RST.s","males_RBM.s","size_PT.s","size_RST.s","size_RBM.s"
"11",0.216577142477036,249,2015-10-29,2015-12-28,0.295020341873169,0.214487075805664,11,566,616,687,-0.954727277110287,-0.889581310006911,-1.46163657199165,-0.683389793431608,-0.314143381860717,-0.0260481462450375,17,17,51,4,14,11,8,13,16,2015-11-28,NA,0.509093844,0.470591044896556,332,1.47634424570554,-0.355267123379655,0.642498890254301,-0.551871893181755,-1.0308609933142,-0.38733272293021,-0.217751873932868,-1.08106983843675,-0.33712480853738,-0.313046624210115
"12",0.214206099510193,247,2015-11-28,2016-01-27,0.324810534715652,0.236645087599754,12,510,526,644,-0.984204050276326,-0.498661371853864,-1.19380434829209,-1.2049350022286,-1.11583254161869,-0.335270005043485,27,19,50,4,15,9,9,14,17,2015-12-28,NA,0.4724738595,0.0569695854457733,362,1.7687539774694,0.152257338591281,0.893911499484245,-0.5960609237746,-1.0308609933142,-0.145249771098829,-0.528825979551251,-0.819520683976248,-0.0963213738678226,-0.105883417012245
"13",0.283705830574036,295,2015-12-28,2016-02-26,0.327200025320053,0.267857879400253,13,648,648,720,-0.120184360916734,-0.467305431184777,-0.816523592532735,0.080301405163981,-0.0290983472801041,0.211261652367724,46,22,64,4,15,9,10,14,18,2016-01-27,0.435853875,0.435853875,-0.356651874005009,27,-1.49648802722705,1.11655381633606,1.27103041332916,0.022585504525232,-1.0308609933142,-0.145249771098829,-0.528825979551251,-0.557971529515743,0.144482060801735,-0.105883417012245
"14",0.317779213190079,257,2016-01-27,2016-03-27,0.335691630840302,0.265167355537415,14,552,605,690,0.30341545756746,-0.355874870048508,-0.84904496655299,-0.813776095630855,-0.412127612497803,-0.00447452818933183,42,21,71,4,14,9,9,12,17,2016-02-26,NA,0.45390621875,-0.152751275183559,57,-1.20407829546319,0.913544031547684,1.14532410871419,0.331908718675148,-1.0308609933142,-0.38733272293021,-0.528825979551251,-0.819520683976248,-0.0963213738678226,-0.520209831407985
"15",0.230103805661201,306,2016-02-26,2016-04-26,0.374579250812531,0.322930932044983,15,549,597,714,-0.786563988654985,0.154425485335012,-0.15083488847243,-0.841716017530694,-0.483388871142956,0.168114416256313,51,21,87,6,14,7,9,12,17,2016-03-27,NA,0.4719585625,0.0511493236378908,87,-0.911668563699327,1.37031604732153,1.14532410871419,1.03893320816067,-0.73254109171202,-0.38733272293021,-0.839900085169633,-0.819520683976248,-0.0963213738678226,-0.520209831407985
"16",0.259744495153427,353,2016-03-27,2016-05-26,0.386423110961914,0.375970214605331,16,655,713,876,-0.418071349396405,0.309845797703301,0.490270871537871,0.145494556263605,0.549899379211767,1.33308979126442,108,32,107,9,16,7,9,11,17,2016-04-26,NA,0.49001090625,0.25504992245934,117,-0.619258831935466,4.26320548055586,2.52809345947888,1.92271382001757,-0.28506123930875,0.0968331807325525,-0.839900085169633,-0.819520683976248,-0.0963213738678226,-0.727373038605855
"17",0.310172975063324,206,2016-04-26,2016-06-25,0.388114929199219,0.345688313245773,17,515,564,695,0.20885481103148,0.332046576469331,0.124242138709761,-1.15836846572887,-0.777341563054214,0.0314815019035109,87,22,67,10,15,5,9,11,16,2016-05-26,0.50806325,0.50806325,0.45895052128079,147,-0.326849100171605,3.19740411041689,1.27103041332916,0.155152596303767,-0.13590128850766,-0.145249771098829,-1.15097419078802,-0.819520683976248,-0.33712480853738,-0.727373038605855
"18",0.36698853969574,154,2016-05-26,2016-07-25,0.470046013593674,0.367311716079712,18,522,514,559,0.915185119840814,1.40718209551897,0.385612342804958,-1.09317531462924,-1.22272442958642,-0.946522516621811,44,9,39,8,13,4,10,11,16,2016-06-25,NA,0.4666395,-0.00892930348877932,177,-0.0344393684077436,1.01504892394187,-0.363151546665475,-1.0821402602959,-0.43422119010984,-0.629415674761591,-1.30651124359721,-0.557971529515743,-0.33712480853738,-0.727373038605855
"19",0.299782991409302,240,2016-06-25,2016-08-24,0.422763615846634,0.499744266271591,19,699,615,661,0.0796866788418306,0.786721795018962,1.98637439391799,0.555280077461238,-0.323051039191362,-0.21301950272782,43,15,75,8,14,6,10,10,16,2016-07-25,NA,0.42521575,-0.476809128258349,207,0.257970363356118,0.964296477744778,0.391086281024357,0.508664841046529,-0.43422119010984,-0.38733272293021,-0.995437137978824,-0.557971529515743,-0.33712480853738,-0.934536245803726
"20",0.25291496515274,274,2016-07-25,2016-09-23,0.460671186447144,0.347326964139938,20,745,732,826,-0.502975971318535,1.28416151395729,0.144049128476259,0.983692213258764,0.719144868494006,0.97352949033599,36,14,94,7,13,8,11,13,17,2016-08-24,0.383792,0.383792,-0.944688953027918,237,0.550380095119979,0.609029354365123,0.265379976409385,1.34825642231059,-0.58338114091093,-0.629415674761591,-0.684363032360442,-0.296422375055239,-0.0963213738678226,-0.313046624210115
